t=2026-04-08T09:50:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-08T09:50:20+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-04-08T09:50:20+0530 lvl=info msg="open config file" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-04-08T09:50:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T09:50:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T09:50:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T09:50:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=e9264cd1b524 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=5ee79ce9d3d4 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=47ceb84b9933 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=9ed4af17458b l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=9f89461ccabc l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=da7359a7475e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=3aec29efbe4e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:57511
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=9860fe397e1e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=edfaef7778ad l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:57+0530 lvl=info msg="join connections" obj=join id=d57f46e7c8f9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:55:16+0530 lvl=info msg="join connections" obj=join id=0c0508a9fed9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:16+0530 lvl=info msg="join connections" obj=join id=c5c11830a1c9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:16+0530 lvl=info msg="join connections" obj=join id=ce58401bbb72 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:17+0530 lvl=info msg="join connections" obj=join id=d872b76eb38d l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:17+0530 lvl=info msg="join connections" obj=join id=5ba64784d74b l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:20+0530 lvl=info msg="join connections" obj=join id=081e68675503 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
